"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
888,605141,"Betts, Mookie",888,100,0.341,0.222,0.353,0.562,0.435,0.402,0.322,63,185,90.8,19.7,2212,89.6,89.82,44,328,560,0.20000000000000284,6.45,109,152,122,146,303,322,295,"-24.5","24.5",67.35715068894096,"6.836833745"
878,592450,"Judge, Aaron",878,100,0.266,0.302,0.308,0.568,0.415,0.459,0.294,45,169,96.6,17.7,2305,88.5,88.71,119,367,511,0.20000000000000284,6.51,106,152,123,146,307,330,295,"-11.3","11.3",74.66136983854027,"8.039223986"
870,665742,"Soto, Juan",871,99.9,0.313,0.246,0.319,0.559,0.419,0.464,0.329,56,179,96,10.3,2264,88.9,89.13,68,330,540,0.19999999999998863,6.49,114,146,125,151,296,326,300,"-19.7","19.7",73.93941090411678,"7.221840463"
849,668227,"Arozarena, Randy",849,100,0.162,0.168,0.189,0.329,0.266,0.289,0.199,28,173,90.4,13,2297,89.2,89.19,125,357,492,0,6.41,108,151,121,147,301,327,293,"11.4","-11.4",70.54009305972328,"7.266619533"
847,660271,"Ohtani, Shohei",847,100,0.35,0.311,0.386,0.661,0.46,0.486,0.363,64,183,94.8,13.3,2165,89.1,89.39,100,382,465,0.30000000000001137,6.42,116,146,127,151,300,325,307,"-18.4","18.4",73.91364815737097,"7.536558591"
846,572233,"Walker, Christian",846,100,0.255,0.176,0.298,0.43,0.353,0.382,0.255,42,165,90.1,13.7,2249,89.4,89.74,107,396,449,0.29999999999999716,6.47,110,152,124,147,305,328,296,"-4.6","4.6",72.00382659557518,"7.387840032"
846,656941,"Schwarber, Kyle",846,100,0.216,0.175,0.277,0.392,0.323,0.342,0.232,37,171,94,18,2250,88.6,88.71,116,349,497,0.10000000000000853,6.42,120,146,123,151,295,327,298,"-2","2",74.66928677133406,"7.84229311"
843,650490,"Díaz, Yandy",843,100,0.263,0.097,0.299,0.36,0.311,0.311,0.264,49,186,92.1,4.8,2257,89.7,89.18,45,370,473,-0.5,6.42,111,151,123,149,305,327,293,"-5.9","5.9",71.52425891867615,"7.437572983"
840,641857,"McMahon, Ryan",840,100,0.308,0.166,0.407,0.473,0.379,0.384,0.29,52,169,93.4,5.7,2230,90,90.4,105,393,447,0.4000000000000057,6.4,115,145,117,150,293,327,303,"-10","10",70.29319072967454,"7.031136387"
837,670623,"Paredes, Isaac",837,100,0.308,0.195,0.336,0.503,0.392,0.316,0.238,49,159,85.2,22.7,2287,88.6,88.3,70,372,465,-0.29999999999999716,6.42,109,152,122,146,295,326,296,"-8.8","8.8",66.00225928979322,"7.883396559"
