"","pitch_type","release_speed","zone","stand","p_throws","description","type","bb_type","balls","strikes","on_3b","on_2b","on_1b","outs_when_up","pitch_number"
"1","SI",94.2,13,"L","R","ball","B",NA,1,1,628450,657041,444876,1,3
"2","CU",75.6,4,"R","R","swinging_strike","S",NA,0,0,NA,624413,NA,2,1
"3","FF",89.7,6,"R","L","called_strike","S",NA,3,0,NA,NA,NA,2,4
"4","FF",93,2,"R","R","hit_into_play","X","line_drive",1,2,NA,NA,462101,2,6
"5","SI",92.2,12,"R","R","called_strike","S",NA,2,2,NA,NA,NA,0,5
"6","CH",88.8,13,"R","R","blocked_ball","B",NA,2,2,NA,NA,656775,2,5
"7","FF",94.6,12,"L","L","ball","B",NA,1,2,NA,NA,NA,0,4
"8","FS",91,7,"R","R","hit_into_play","X","ground_ball",1,0,NA,NA,NA,2,2
"9","FF",90.3,14,"R","L","called_strike","S",NA,0,0,NA,NA,NA,0,1
"10","FF",95.2,6,"L","L","foul","S",NA,2,0,NA,NA,NA,2,3
"11","SI",93.8,11,"L","R","ball","B",NA,0,0,NA,NA,NA,1,1
"12","SL",84.6,14,"R","R","blocked_ball","B",NA,0,1,NA,519299,547172,0,2
"13","SI",90.8,4,"L","L","foul","S",NA,1,1,NA,NA,NA,1,3
"14","SI",94.3,5,"R","L","called_strike","S",NA,0,0,NA,NA,547180,2,1
"15","SI",92.3,14,"R","L","ball","B",NA,0,0,NA,NA,NA,0,1
"16","CH",86.8,13,"L","R","swinging_strike","S",NA,0,0,NA,NA,516782,2,1
"17","CH",88.6,5,"R","L","hit_into_play","X","ground_ball",0,0,NA,NA,NA,1,1
"18","SL",80.4,5,"L","L","foul","S",NA,0,2,NA,NA,NA,0,3
"19","FF",90,1,"R","R","ball","B",NA,0,0,NA,NA,NA,1,1
"20","CH",81,9,"R","L","hit_into_play","X","fly_ball",0,0,NA,NA,670032,2,1
"21","SI",92.6,14,"L","R","ball","B",NA,1,0,NA,NA,NA,1,2
"22","SL",86.4,14,"L","R","ball","B",NA,1,2,NA,NA,NA,1,4
"23","SI",88.2,14,"R","R","ball","B",NA,2,1,NA,NA,NA,2,4
"24","FF",96.1,3,"R","R","swinging_strike","S",NA,1,1,NA,NA,500743,2,3
"25","SI",94.3,7,"R","L","foul","S",NA,1,0,NA,NA,NA,0,2
"26","FF",91,6,"R","L","foul","S",NA,0,1,NA,NA,NA,1,2
"27","SI",91.9,6,"L","R","called_strike","S",NA,1,0,NA,NA,NA,1,2
