"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
32520,452657,"Lester, Jon",42767,76,0.264,0.154,0.308,0.418,0.328,0.33,0.263,1981,7503,88,11.7,2248,91.2,90.02,2807,15155,17365,-1.2000000000000028,6.3,109,151,108,148,295,316,291,"64","-64",,
27381,434378,"Verlander, Justin",48086,56.9,0.246,0.165,0.281,0.411,0.32,0.311,0.229,1400,5690,90,24.3,2529,94.8,93.67,2876,13883,13498,-1.0999999999999943,6.02,111,153,114,149,294,319,292,"203.8","-203.8",70.4243031793406,"6.946427806"
27232,458681,"Lynn, Lance",33084,82.3,0.243,0.15,0.297,0.392,0.31,0.306,0.233,1461,6019,87.9,14,2406,92.3,91.94,3267,13455,13777,-0.3999999999999915,6.2,110,151,112,148,295,320,296,"162.2","-162.2",69.76314536697014,"7.06305534"
27120,453286,"Scherzer, Max",45909,59.1,0.231,0.174,0.295,0.406,0.307,0.288,0.212,1327,5738,89.3,23.9,2469,93.9,93.19,3311,13543,13577,-0.7000000000000028,6.07,113,152,114,148,294,314,295,"188.6","-188.6",,
26825,518516,"Bumgarner, Madison",34838,77,0.25,0.167,0.291,0.417,0.312,0.338,0.261,1578,6316,89.2,17.4,2291,89.7,89.25,2875,13418,13407,-0.4000000000000057,6.45,108,149,112,146,296,318,294,"93","-93",,
25363,456034,"Price, David",33924,74.8,0.237,0.138,0.296,0.376,0.296,0.309,0.242,1409,5937,88.5,12.8,2145,93.1,91.39,2363,11863,13500,-1.6999999999999886,5.98,107,150,113,147,289,317,287,"133","-133",,
25103,425844,"Greinke, Zack",45755,54.9,0.273,0.166,0.31,0.439,0.331,0.351,0.28,1479,5426,89.9,16.3,2323,91.7,89.63,1740,10798,14305,-2.1000000000000085,5.98,113,154,114,150,298,323,298,"82.3","-82.3",,
24366,425794,"Wainwright, Adam",37059,65.7,0.279,0.149,0.311,0.428,0.332,0.349,0.283,1627,5827,88.5,11.3,2256,88.7,87.56,1655,10849,13517,-1.1000000000000085,6.44,112,151,112,148,298,318,299,"39.6","-39.6",,
23887,430935,"Hamels, Cole",37333,64,0.266,0.168,0.294,0.434,0.332,0.351,0.274,1460,5489,89.5,11.4,2059,91.3,91.34,1858,11314,12573,0,6.34,107,149,109,147,298,322,295,"2.5","-2.5",,
22255,456501,"Cueto, Johnny",35931,61.9,0.25,0.139,0.287,0.389,0.31,0.322,0.26,1254,5022,87,14.5,2223,92.1,89.93,1872,10706,11549,-2.1999999999999886,5.66,110,150,112,148,293,314,294,"119.6","-119.6",,
22198,477132,"Kershaw, Clayton",40939,54.2,0.246,0.131,0.277,0.377,0.306,0.315,0.254,1199,4875,86.8,15.3,2354,93.2,91.67,1816,10361,11837,-1.5,6.37,111,153,109,147,295,312,290,"213","-213",,
22027,457918,"Happ, J.A.",32277,68.2,0.247,0.174,0.289,0.42,0.327,0.323,0.246,1181,4791,89.3,14.1,2299,91.5,91.12,2082,10431,11596,-0.4000000000000057,6.1,107,152,113,147,297,322,290,"130.9","-130.9",,
21491,448306,"Shields, James",36082,59.6,0.287,0.199,0.303,0.486,0.367,0.396,0.295,1428,4967,90,14.6,2281,90.2,89.91,1392,9349,12142,-0.29999999999999716,6.78,109,151,108,146,292,310,291,"-87.6","87.6",,
21086,453178,"Kennedy, Ian",31709,66.5,0.255,0.195,0.288,0.45,0.337,0.351,0.255,1149,4504,91.1,22.1,2374,91.5,92.55,1915,9909,11177,1,6.44,112,151,113,146,297,320,298,"66.9","-66.9",,
21055,407793,"Lackey, John",26324,80,0.255,0.157,0.295,0.413,0.317,0.307,0.243,1327,5196,88.2,13.7,2177,90,89.14,2101,10217,10838,-0.9000000000000057,6.28,113,150,109,148,294,314,295,"51.1","-51.1",,
20724,519144,"Porcello, Rick",33472,61.9,0.286,0.151,0.323,0.437,0.336,0.329,0.264,1488,5201,89.7,13.2,2383,91.2,90.53,1442,9852,10872,-0.7000000000000028,6.2,110,151,114,147,283,318,292,"-9.1","9.1",,
20600,461829,"González, Gio",33017,62.4,0.268,0.156,0.301,0.423,0.345,0.349,0.269,1163,4347,88.9,13.6,2204,92,90.22,1564,9110,11490,-1.7999999999999972,6.13,107,150,110,146,297,309,289,"33","-33",,
20319,450203,"Morton, Charlie",32744,62.1,0.292,0.148,0.325,0.44,0.359,0.35,0.27,1347,4615,89.2,8.9,2233,92.9,93.04,1627,9449,10870,0.09999999999999432,6,110,152,117,148,296,321,295,"-72.7","72.7",69.89666905866778,"6.855631538"
19948,282332,"Sabathia, CC",33943,58.8,0.286,0.17,0.306,0.457,0.353,0.322,0.252,1344,4698,85.9,10.2,2116,92.1,90.45,1504,9399,10549,-1.6999999999999886,6.82,103,151,110,145,298,320,287,"-31","31",,
18975,429717,"Haren, Dan",25951,73.1,0.262,0.173,0.291,0.435,0.32,0.314,0.249,1224,4676,88.1,21.2,2162,88,83.5,1664,9068,9907,-4.5,5.38,112,150,108,147,293,313,293,"58.8","-58.8",,
18773,554430,"Wheeler, Zack",23426,80.1,0.239,0.118,0.296,0.358,0.291,0.288,0.234,1033,4318,85.8,10.7,2358,94.6,96.05,2239,9493,9278,1.4000000000000057,7.05,111,150,114,148,294,319,294,"136.2","-136.2",69.13250634284512,"6.704916622"
